StasjonsNavn,date,MaalepunktID,Lat,Lon,PostKode,AarligForbruk,ForbruksVerdi,Temperatur
Gatelys,2021-10-31,5.2675783751531423e+20,45371.5728,8070.69675,1758200.0,0.0,2730.317,0.0
Gatelys,2021-11-30,5.0908140001480036e+20,43849.0368,7799.8679999999995,1699200.0,0.0,3033.911,0.0
Gatelys,2021-12-31,4.92112020014307e+20,42387.40224,7539.8724,1642560.0,0.0,3214.054,0.0
Gongeveien,2021-06-30,5.0908140003046936e+20,42456.7008,6828.393599999999,2856240.0,40665600.0,2219.168,0.0
Gongeveien,2021-07-31,5.26050780031485e+20,43871.92416,7056.006719999999,2951448.0,42021120.0,2539.856,0.0
Gongeveien,2021-08-31,5.26050780031485e+20,43871.92416,7056.006719999999,2951448.0,42021120.0,3393.63,0.0
Gongeveien,2021-09-30,4.751426400284381e+20,39626.25408,6373.1673599999995,2665824.0,37954560.0,4072.893,0.0
Gongeveien,2021-10-31,5.097884575305117e+20,42515.66844,6837.877479999999,2860207.0,40722080.0,5407.982,0.0
Gongeveien,2021-11-30,4.9211202002945376e+20,41041.47744,6600.780479999999,2761032.0,39310080.0,6213.114,0.0
Gongeveien,2021-12-31,4.9211202002945376e+20,41041.47744,6600.780479999999,2761032.0,39310080.0,8729.03,0.0
Grendstøl,2021-01-31,5.260507800568514e+20,43609.35168,6623.4972,3645600.0,44007600.0,7811.2,0.0
Grendstøl,2021-02-28,4.751426400513497e+20,39389.09184,5982.5136,3292800.0,39748800.0,6236.0,0.0
Grendstøl,2021-03-31,5.25343722556775e+20,43550.73696,6614.59465,3640700.0,43948450.0,5385.6,0.0
Grendstøl,2021-04-30,5.090814000550175e+20,42202.598399999995,6409.836,3528000.0,42588000.0,4351.2,0.0
Grendstøl,2021-05-31,5.260507800568514e+20,43609.35168,6623.4972,3645600.0,44007600.0,3412.8,0.0
Grendstøl,2021-06-30,5.090814000550175e+20,42202.598399999995,6409.836,3528000.0,42588000.0,2800.0,0.0
Grendstøl,2021-07-31,5.260507800568514e+20,43609.35168,6623.4972,3645600.0,44007600.0,3062.4,0.0
Grendstøl,2021-08-31,5.260507800568514e+20,43609.35168,6623.4972,3645600.0,44007600.0,3639.2,0.0
Grendstøl,2021-09-30,4.751426400513497e+20,39389.09184,5982.5136,3292800.0,39748800.0,3896.0,0.0
Grendstøl,2021-10-31,5.097884575550939e+20,42261.21312,6418.73855,3532900.0,42647150.0,4988.8,0.0
Grendstøl,2021-11-30,4.9211202005318356e+20,40795.84512,6196.1748,3410400.0,41168400.0,6019.46,0.0
Grendstøl,2021-12-31,5.090814000550175e+20,42202.598399999995,6409.836,3528000.0,42588000.0,7491.74,0.0
Harpviken,2021-01-31,5.260507800153059e+20,45300.203279999994,8104.11672,1773696.0,0.0,5507.18,0.0
Harpviken,2021-02-28,4.751426400138247e+20,40916.31264,7319.847360000001,1602048.0,0.0,4291.475,0.0
Harpviken,2021-03-31,5.253437225152853e+20,45239.31591,8093.224090000001,1771312.0,0.0,3873.64,0.0
Harpviken,2021-04-30,5.0908140001481215e+20,43838.9064,7842.6936000000005,1716480.0,0.0,2890.81,0.0
Harpviken,2021-05-31,5.260507800153059e+20,45300.203279999994,8104.11672,1773696.0,0.0,2141.044,0.0
Harpviken,2021-06-30,5.0908140001481215e+20,43838.9064,7842.6936000000005,1716480.0,0.0,1657.702,0.0
Harpviken,2021-07-31,5.260507800153059e+20,45300.203279999994,8104.11672,1773696.0,0.0,1875.234,0.0
Harpviken,2021-08-31,5.260507800153059e+20,45300.203279999994,8104.11672,1773696.0,0.0,2714.694,0.0
Harpviken,2021-09-30,5.0908140001481215e+20,43838.9064,7842.6936000000005,1716480.0,0.0,3498.708,0.0
Harpviken,2021-10-31,5.267578375153264e+20,45361.09065,8115.00935,1776080.0,0.0,4648.424,0.0
Harpviken,2021-11-30,5.0908140001481215e+20,43838.9064,7842.6936000000005,1716480.0,0.0,5357.011,0.0
Harpviken,2021-12-31,4.921120200143184e+20,42377.60952,7581.27048,1659264.0,0.0,5831.934,0.0
Hesthaugtunnel,2021-01-31,5.2605078005685033e+20,43538.15832,6576.03,3606912.0,332767392.0,26319.6,-2786.1
Hesthaugtunnel,2021-02-28,4.751426400513487e+20,39324.788160000004,5939.639999999999,3257856.0,300564096.0,30757.2,-1431.2
Hesthaugtunnel,2021-03-31,5.2534372255677396e+20,43479.63929,6567.19125,3602064.0,332320124.0,36807.6,2731.7
Hesthaugtunnel,2021-04-30,5.0908140005501646e+20,42133.7016,6363.9,3490560.0,322032960.0,51495.6,3543.3
Hesthaugtunnel,2021-05-31,5.2605078005685033e+20,43538.15832,6576.03,3606912.0,332767392.0,47107.2,7030.8
